date	temperature	humidity	light	leaf Instance Count	leaf average mask	flower Instance Count	flower Mask Pixel Count	terminal average Mask Pixel Count	fruit Mask average	all leaf mask	Target
2023/5/24	27.08 	59.66 	6800.26 	7.5625	6784.256198	0	0	574.9	960	410447.5	5.517131702
2023/5/25	21.63 	80.38 	2286.41 	8.5625	6463.321168	0.5	187.5	568.125	867.5	442737.5	2.054298138
2023/5/26	19.98 	85.76 	1748.29 	7.511931611	7077.080196	0.709737218	276.8524756	556.7354175	815.176838	422631.2275	1.539586435
2023/5/27	19.50 	87.27 	1861.11 	7.576817934	7066.550149	0.751684662	283.7229707	575.8741676	835.1872057	425165.573	1.568496787
2023/5/28	21.14 	86.72 	2393.84 	7.665571844	6958.359959	0.593907246	225.3738352	573.3135037	853.1731151	423828.0647	2.139322744
2023/5/29	22.13 	86.45 	2443.07 	7.859197611	6947.863082	0.677732492	249.856523	554.6229511	852.0240984	434512.5564	1.596399119
2023/5/30	31.66 	65.86 	6704.93 	7.740040726	7079.557611	0.77735797	283.7392042	549.021321	837.4437754	436386.0511	5.654101899
2023/5/31	21.18 	89.81 	967.34 	7.720731767	7045.440176	0.74084126	273.4416303	559.0727284	836.826418	432864.6163	1.024148386
2023/6/1	27.69 	69.36 	4610.97 	7.700679847	7101.91816	0.833852993	308.2065034	563.511405	802.5275926	435431.6427	3.664272009
2023/6/2	20.65 	85.77 	1540.10 	7.775864278	6869.913534	0.511065825	194.6898563	569.7896178	866.2074318	424961.973	1.055864957
2023/6/3	18.47 	90.71 	996.61 	8.0625	7251.953488	1	331	483.9	874.9	467751	0.605315048
2023/6/4	19.85 	85.07 	2165.51 	7.764225353	7175.538789	0.931086204	335.629421	549.6818859	794.2013952	444427.8852	1.183679838
2023/6/5	27.26 	68.84 	5568.56 	7.718537133	7044.771465	0.71327899	262.3278275	551.9225413	848.9289181	432867.5676	2.439117474
2023/6/6	31.52 	60.13 	7132.61 	7.5	7535.516667	1.5	554.5	593.1153846	586.7692308	452131	3.992031794
2023/6/7	32.08 	61.92 	5701.89 	7.754600437	7093.135115	0.80660875	292.3455666	553.9257077	823.5132312	438173.4337	4.203714873
2023/6/8	32.66 	60.77 	6279.79 	7.770965881	7086.109615	0.795786954	287.1427371	553.6136572	824.2249436	438764.0157	4.08544015
2023/6/9	33.74 	56.40 	7101.49 	7.826024252	7139.072511	0.855953795	300.5913958	539.5050402	830.4739705	445633.46	5.290933058
2023/6/10	32.83 	56.03 	5647.46 	7.781295149	7233.534255	0.982275202	345.0831929	541.6485657	797.6907793	449028.9871	4.61156304
2023/6/11	32.03 	59.07 	4919.34 	7.68443758	7200.888765	0.930474152	331.5925338	562.6819774	783.0976709	440791.8797	3.442849555
